sku,upc,upc_source,missing_upc,url,title
"1701-0032-0001","841298124067","meta:gtin","false","https://www.gobilda.com/1701-series-face-tapped-motor-mount-32-1","1701 Series Face Tapped Motor Mount (32-1)"
"2908-0100-0005","841298136596","meta:gtin","false","https://www.gobilda.com/synthetic-cable-1mm-diameter-5-meter-length","Synthetic Cable (1mm Diameter, 5 meter Length)"
"3405-0005-0533","841298123084","meta:gtin","false","https://www.gobilda.com/3405-series-round-belt-5mm-cord-diameter-533mm-circumference","3405 Series Round Belt (5mm Cord Diameter, 533mm Circumference)"
"2305-0024-0015","841298114112","meta:gtin","false","https://www.gobilda.com/2305-0024-0015-on-servocity","2305 Series Brass, MOD 0.8, Servo Gear (24 Tooth Spline, 15 Tooth)"
"","","","true","https://www.gobilda.com/rd-see-also-tracks","Tracks"
"3109-0010-0001","841298139818","meta:gtin","false","https://www.gobilda.com/12v-battery-health-analyzer-nimh-3000mah","12V Battery Health Analyzer (NiMH, 3000mAh)"
"3203-1118-0001","841298123718","meta:gtin","false","https://www.gobilda.com/1118-series-open-gorail-bundle-12-pcs","1118 Series Open goRAIL® Bundle (12 Pcs)"
"3423-0006-0408","841298136435","meta:gtin","false","https://www.gobilda.com/2mm-pitch-gt2-timing-belt-6mm-width-408mm-pitch-length-204-tooth","2mm Pitch GT2 Timing Belt (6mm Width, 408mm Pitch Length, 204 Tooth)"
"5204-8002-0100","841298127419","meta:gtin","false","https://www.gobilda.com/5204-series-yellow-jacket-planetary-gear-motor-99-5-1-ratio-80mm-length-8mm-rex-shaft-60-rpm-3-3-5v-encoder","5204 Series Yellow Jacket Planetary Gear Motor (99.5:1 Ratio, 80mm Length 8mm REX® Shaft, 60 RPM, 3.3 - 5V Encoder)"
"2312-0414-0070","","","true","https://www.gobilda.com/70-tooth-hub-mount-gear-mod-0-8-4mm-thick-acetal","70 Tooth Hub-Mount Gear (MOD 0.8, 4mm Thick Acetal)"
"5202-0002-0071","841298123923","meta:gtin","false","https://www.gobilda.com/5202-series-yellow-jacket-planetary-gear-motor-71-2-1-ratio-84-rpm-3-3-5v-encoder","5202 Series Yellow Jacket Planetary Gear Motor (71.2:1 Ratio, 84 RPM, 3.3 - 5V Encoder)"
"1511-0032-0060","841298116307","meta:gtin","false","https://www.gobilda.com/1511-series-32mm-od-counterbored-pattern-spacer-6mm-length","1511 Series 32mm OD Counterbored Pattern Spacer (6mm Length)"
"1201-0024-0001","841298131768","meta:gtin","false","https://www.gobilda.com/1201-series-quad-block-pattern-mount-24-1","1201 Series Quad Block Pattern Mount (24-1)"
"2302-0032-0080","841298112194","meta:gtin","false","https://www.gobilda.com/2302-series-aluminum-mod-0-8-hub-mount-gear-32mm-bore-80-tooth","2302 Series Aluminum, MOD 0.8, Hub Mount Gear (32mm Bore, 80 Tooth)"
"1101-0005-0040","841298112729","meta:gtin","false","https://www.gobilda.com/1101-series-u-beam-5-hole-40mm-length","1101 Series U-Beam (5 Hole, 40mm Length)"
"2806-0005-0005","841298116819","meta:gtin","false","https://www.gobilda.com/2806-series-black-oxide-steel-cup-point-set-screw-m5-x-0-8mm-5mm-length-25-pack","2806 Series Black Oxide Steel Cup-Point Set-Screw (M5 x 0.8mm, 5mm Length) - 25 Pack"
"2917-0001-0001","841298126818","meta:gtin","false","https://www.gobilda.com/servo-connector-clip-yellow-6-pack","Servo Connector Clip (Yellow) - 6 Pack"
"1902-0025-0204","841298114440","meta:gtin","false","https://www.gobilda.com/1902-series-dual-servo-arm-25-tooth-spline-64mm-length","1902 Series Dual Servo Arm (25 Tooth Spline, 64mm Length)"
"3405-0005-0653","841298123114","meta:gtin","false","https://www.gobilda.com/3405-series-round-belt-5mm-cord-diameter-653mm-circumference","3405 Series Round Belt (5mm Cord Diameter, 653mm Circumference)"
"5027103001","841298114808","meta:gtin","false","https://www.gobilda.com/wera-tools-2-5mm-ball-end-hex-plus-l-key","Wera Tools 2.5mm Ball-End Hex-Plus L-Key"
